Found!ကလော်ထုတ်ခြင်တော့တာပါဘဲ	ကလော်ထုတ်ချင်တော့တာပါဘဲ
Found!ကာကွယ်နိ်ုင်အောင်	ကာကွယ်နိုင်အောင်
Found!ကါရဂ ံရှင်	ကာယကံရှင်
Found!ကာရဝေလ႞	ကာရဝေလ
Found!ကားကျပ်တာရယ်	ကားကြပ်တာရယ်
Found!ကားမောင်သမား	ကားမောင်းသမား
Found!ကုူညီစောင့်ရှောက်ရမှာပေါ့	ကူညီစောင့်ရှောက်ရမှာပေါ့
Found!ကူးသွားပါတယျ	ကူးသွားပါတယ်
Found!ကဲ့သလို၊	ကဲ့သို့၊
Found!ကော်မီတိ	ကော်မတီ
Found!ကော်မီတီ	ကော်မတီ
Found!ကိုကိုဂြာီး	ကိုကိုကြီး
Found!ကိုးကန် ့ 	ကိုးကန့်
Found!ကောက်ကိုင်လိ်ုက်မိသည်	ကောက်ကိုင်လိုက်မိသည်
Found!ကင်းလွခွင့်	ကင်းလွတ်ခွင့်
Found!ကောင်းကောငး်	ကောင်းကောင်း
Found!ကောင်းကျပါတယ်	ကောင်းကြပါတယ်
Found!ကောင်းပဗျာ	ကောင်းပါ့ဗျာ
Found!ကိုင်တယ်ဖြေရှင်းပေးဖို့	ကိုင်တွယ်ဖြေရှင်းပေးဖို့
Found!ကန်းတော့ပါသည်	ကန်တော့ပါသည်
Found!ကုန်ဆုူံစေပါတယ်	ကုန်ဆုံးစေပါတယ်
Found!ကုန်ဆုံးပြိး	ကုန်ဆုံးပြီး
Found!ကုန် ပစ္စည် း	ကုန် ပစ္စည်း
Found!ကုတ်သွယ်ရေး	ကုန်သွယ်ရေး
Found!ကပ်နေပါဘီနော်	ကပ်နေပါပြီနော်
Found!ကတ်မှီသွားနဲ့	ကပ်မှီသွားနဲ့
Found!ကမ္ဘာ့ကျော်	ကမ္ဘာကျော်
Found!ကမ္ဘ္ဒာမှာ	ကမ္ဘာမှာ
Found!ကမ် းလှမ် းမှု	ကမ်းလှမ်းမှု
Found!ကမ် းလှမ် းလိုက် သည်	ကမ်းလှမ်းလိုက် သည်
Found!ကယ်တိုင်နိုင်ခဲ့ပါတယ်	ကယ်တင်နိုင်ခဲ့ပါတယ်
Found!ကိုယ်ခြင်းစာ	ကိုယ်ချင်းစာ
Found!ကိုယ်ချင်းစာကြည့်စေချင်တယ််	ကိုယ်ချင်းစာကြည့်စေချင်တယ်
Found!ကိယ် ချင်းမစာ	ကိုယ်ချင်းမစာ
Found!ကိုယ်စားလည်	ကိုယ်စားလှယ်
Found!ကိုယ်စီကိုယ်ဌ	ကိုယ်စီကိုယ်ငှ
Found!ကိ်ုယ်စီနဲ့	ကိုယ်စီနဲ့
Found!ကိုယ့်တိုင်ကစပြီး	ကိုယ်တိုင်ကစပြီး
